,url,header,header_len,meta,meta_len,bytes,word_count,inlinks,unique_in,outlinks,unique_out,ext_links,unique_ext,pa,pub_date
78,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,alzheimer's disease,19,Alzheimer's disease causes a progressive loss of brain cells that leads to memory loss and the decline of other thinking skills.,128,91009,3572,15,7,127,85,97,73,1.0,2018-12-08
79,https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/symptoms-causes/syc-20369273,ambiguous genitalia,19,"Learn about causes and treatment of ambiguous genitalia, a rare disorder of sex development in which a baby's external genitals are not clearly male or female.",159,46980,1700,14,6,71,45,67,45,0.0,2018-04-18
80,https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391,lazy eye (amblyopia),20,"Abnormal visual development early in life can cause reduced vision in one eye, which often wanders inward or outward.",117,41238,1188,9,4,70,43,67,45,0.0,2019-08-07
81,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278,ameloblastoma,13,"Learn more about the symptoms and treatment of this rare, noncancerous (benign) tumor.",86,38958,868,8,3,71,43,67,45,0.0,2019-02-15
82,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,amenorrhea,10,"Absence of menstruation (amenorrhea) may be linked to an underlying, treatable problem. Learn about amenorrhea causes and when you should see a doctor.",151,49571,1805,11,6,72,46,67,45,0.0,2019-07-25
84,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,amnesia,7,"Read about the causes of memory loss, and steps you can take to get it back.",76,45803,1665,16,6,70,44,67,45,0.0,2017-08-25
85,https://www.mayoclinic.org/diseases-conditions/dissociative-disorders/symptoms-causes/syc-20355215,dissociative disorders,22,"Dissociative disorders are mental disorders that involve experiencing a disconnection between thoughts, memories, surroundings, actions and identity.",149,46669,1717,14,8,71,45,67,45,0.0,2017-11-17
86,https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531,transient global amnesia,24,"When your memory suddenly disappears, it can be frightening — but transient global amnesia is typically temporary and harmless.",127,45482,1521,16,7,72,45,67,45,0.0,2018-08-15
87,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324,amniotic fluid embolism,23,"A rare, serious condition occurs when fetal cells or the fluid that surrounds a baby in the uterus during pregnancy enter the mother's bloodstream.",147,43941,1401,9,4,68,42,67,45,0.0,2018-11-09
88,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066,ampullary cancer,16,"Learn more about treatments for cancer of the ampulla of Vater, including the Whipple procedure and minimally invasive surgery.",127,42956,1079,8,3,73,44,67,45,0.0,2019-10-31
89,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,amyloidosis,11,This rare disease can affect different organs in different people. Find out how early and accurate diagnosis can lead to better outcomes.,137,50819,1720,13,8,77,48,67,45,0.0,2020-03-14
90,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,anal cancer,11,Learn about this cancer that affects the anal canal and causes bleeding and pain. Treatment is usually with a combination of radiation and chemotherapy.,152,48958,1490,21,11,81,52,67,45,0.0,2019-07-31
91,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,anal fissure,12,Learn what causes a tear in the anus and how to prevent or treat this often painful condition.,94,44547,1328,10,5,76,47,67,45,0.0,2018-11-28
92,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871,anal fistula,12,"Learn about diagnosis and treatment of anal fistula, an infected tunnel that forms between the skin and anus.",109,38970,888,8,3,69,42,68,46,0.0,2018-01-18
